AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	LibraryLayout_s	Library_Name_s	MBases_l	MBytes_l	Platform_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	geo_loc_name_s	isolate_s	isolation_source_s	strain_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	ReleaseDate_s	SRA_Study_s	collected_by_s	host_s	host_disease_s	lat_lon_s
502	SAMN05379575	SRX1939450	Illumina HiSeq 2500	PAIRED	1	1767	962	ILLUMINA	SRR3883426	SRS1558387	CDC_B11096	2014	Pakistan	IsolateB11096_Candida auris	blood	Outbreak_B11096_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
502	SAMN05379576	SRX1939451	Illumina HiSeq 2500	PAIRED	2	1615	940	ILLUMINA	SRR3883427	SRS1558388	CDC_B11097	2014	Pakistan	IsolateB11097_Candida auris	urine	Outbreak_B11097_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
502	SAMN05379586	SRX1939452	Illumina HiSeq 2500	PAIRED	12	1165	685	ILLUMINA	SRR3883428	SRS1558389	CDC_B11114	2015	Pakistan	IsolateB11114_Candida auris	blood	Outbreak_B11114_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
502	SAMN05379587	SRX1939453	Illumina HiSeq 2500	PAIRED	13	1262	740	ILLUMINA	SRR3883429	SRS1558390	CDC_B11115	2015	Pakistan	IsolateB11115_Candida auris	urine	Outbreak_B11115_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
502	SAMN05379588	SRX1939454	Illumina HiSeq 2500	PAIRED	14	1289	755	ILLUMINA	SRR3883430	SRS1558391	CDC_B11116	2015	Pakistan	IsolateB11116_Candida auris	urine	Outbreak_B11116_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
502	SAMN05379589	SRX1939455	Illumina HiSeq 2500	PAIRED	15	1312	772	ILLUMINA	SRR3883431	SRS1558392	CDC_B11117	2015	Pakistan	IsolateB11117_Candida auris	blood	Outbreak_B11117_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
502	SAMN05379590	SRX1939456	Illumina HiSeq 2500	PAIRED	16	1308	765	ILLUMINA	SRR3883432	SRS1558393	CDC_B11118	2015	Pakistan	IsolateB11118_Candida auris	urine	Outbreak_B11118_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
502	SAMN05379591	SRX1939457	Illumina HiSeq 2500	PAIRED	17	1437	837	ILLUMINA	SRR3883433	SRS1558394	CDC_B11119	2015	Pakistan	IsolateB11119_Candida auris	urine	Outbreak_B11119_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
502	SAMN05379592	SRX1939458	Illumina HiSeq 2500	PAIRED	18	1799	1036	ILLUMINA	SRR3883434	SRS1558395	CDC_B11200	not applicable	India	IsolateB11200_Candida auris	blood	Outbreak_B11200_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
502	SAMN05379593	SRX1939459	Illumina HiSeq 2500	PAIRED	19	1910	1120	ILLUMINA	SRR3883435	SRS1558396	CDC_B11201	not applicable	India	IsolateB11201_Candida auris	blood	Outbreak_B11201_Candida auris	WGS	PRJNA328792	Pathogen.cl	public	0	RANDOM	GENOMIC	2016-07-12	[Candida] auris	2016-09-15	SRP078379	not applicable	Homo sapiens	not collected	not collected
